run_id,study,kind,config_hash,git_commit,git_dirty,git_diff_sha256,source_config_hash,L,U,g,q,lambda,chi,status,message,field_residual,density_residual,number_residual,s_min,max_density_imaginary,total_density_imaginary,mu_evaluations,total_scf_iterations,wall_seconds,accepted,requested,reason,raw_directory,biorthogonality_error,bulk_pair_product_imag,bulk_pair_product_real,complex_fraction,gamma_max_over_t,global_conjugacy_K,global_conjugacy_violation,max_pair_product_imaginary,metric_K_real,metric_epsilon,metric_phase_stable,metric_violation,minimum_eigenvalue_separation,mu,occupied_unoccupied_separation,projector_idempotency,projector_norm,projector_trace_error,real_line_gap,real_part_occupied_rank,real_part_projector_difference,right_condition,delta_P_bulk,delta_P_bulk_one_third,delta_P_bulk_two_thirds,delta_P_full,seed_method,trial_index,audit_index,audit_location,audit_maximum_density_imaginary,audit_minimum_branch_overlap,audit_monotone,audit_target_crossings,branch_message,branch_terminated,density_error_to_endpoint,pair_product_error_to_endpoint,projector_error_to_endpoint,spectrum_error_to_endpoint,mp_similarity_error,covariance_error,similarity_condition,spectrum_error,map_error,component_error,density_error,pair_product_error,scale_imag,scale_real,pair_product_error_to_nh,density_uniformity,momentum_spectrum_error,pair_uniformity,green_covariance_max
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,6.323966458718351e-11,6.883366246914576e-11,8.384697380847683e-10,,0.0,0.0,32,8103,25.19669774999784,True,True,,data/raw/conditioning/conditioning_hermitian_reference_60183f0ca98b,4.372003337617501e-14,0.0,0.12649812006845132,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,0.0008927106810406871,-1.3941266737639044,0.7134925344126497,5.6177238993711073e-14,1.0000000000001454,0.0,0.3567462672063244,80.0,0.0,1.0000000000001497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conditioning_high_precision_9bbf6502dd09,conditioning,high_precision,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,24,2.0,0.34782608695652173,8.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,7.619779252010517e-10,,0.0,0.0,1,0,0.0,True,True,,data/raw/conditioning/conditioning_high_precision_9bbf6502dd09,4.3469349795540874e-16,0.0,0.12415580281408256,0.0,1.1658444621092337e-23,2.383884462201541e-06,0.9999976161183795,0.0,1.0,1e-30,True,2.642081020385318e-17,0.019120736089213608,-1.374346883571062,0.7184264415346356,4.905865429110225e-16,547.5890184055503,4.5917748078995606e-40,0.35921322076731765,24.0,0.0,3183.643262744799,,,,,,,,,,,,,,,,,,,2.116070558091553e-16,,,,,,,,,,,,,,
conditioning_high_precision_a8bb3d4324b7,conditioning,high_precision,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,24,2.0,0.5217391304347826,12.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,7.619779252010517e-10,,0.0,0.0,1,0,0.0,True,True,,data/raw/conditioning/conditioning_high_precision_a8bb3d4324b7,4.51525821812961e-16,0.0,0.12415580281408256,0.0,1.647592564066918e-23,9.282333873879108e-10,0.9999999990717665,0.0,1.0,1e-30,True,3.407729099682428e-17,0.01912073608921694,-1.374346883571062,0.7184264415346355,5.338980916875271e-16,27988.11227256947,7.052966104933725e-38,0.3592132207673173,24.0,0.0,180219.06128953877,,,,,,,,,,,,,,,,,,,2.0664722366392926e-16,,,,,,,,,,,,,,
conditioning_raw_3ab6f9af7c27,conditioning,raw,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.20253164556962025,16.0,0.0,0.0,SUCCESS,SUCCESS,6.587413089219315e-11,5.477174090947436e-11,8.572311749333039e-10,,2.1095290190835104e-16,5.240913381565816e-18,1,3,0.06519745900004636,True,True,,data/raw/conditioning/conditioning_raw_3ab6f9af7c27,7.754845671700677e-16,6.720564110815364e-18,0.12649812007594355,0.0,1.889256072252851e-14,6.861038880117849e-13,0.9999999999993139,4.41746918193338e-17,0.9999999999999996,1e-30,True,7.881601691754139e-16,0.0008927106547939045,-1.3941266737639044,0.7134925344341647,8.522599540136023e-16,1870703.012516322,6.797762331709188e-28,0.35674626721708197,80.0,0.0,9284060.027312055,,,,,,,,,,,,,,,,,,,,4.286495212405829e-11,8886110.520507872,2.4501067841285753e-11,,,,,,,,,,,
conditioning_raw_44145d0acd35,conditioning,raw,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.05063291139240506,4.0,0.0,0.0,SUCCESS,SUCCESS,7.33255352067141e-11,5.477140024816622e-11,8.572311749333039e-10,,6.365538454720407e-17,1.1918902201421223e-18,1,3,0.06701995799085125,True,True,,data/raw/conditioning/conditioning_raw_44145d0acd35,7.45022231877611e-16,-6.664542101003521e-19,0.12649812007594363,0.0,1.5501671220051091e-15,0.005398664823583243,0.9946158296105791,3.5542961699715036e-17,1.0000000000000038,1e-30,True,1.0888027707690133e-15,0.0008927106547956809,-1.3941266737639044,0.7134925344341729,1.1292299160548619e-15,17.076700445781942,6.869252851244842e-29,0.3567462672170861,80.0,0.0,55.07938629295799,,,,,,,,,,,,,,,,,,,,4.694159203232932e-11,54.598150033144236,2.450173397505757e-11,,,,,,,,,,,
conditioning_raw_6cd01a9bebfa,conditioning,raw,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.10126582278481013,8.0,0.0,0.0,SUCCESS,SUCCESS,7.449316742945023e-11,5.4771554539667425e-11,8.572311749333039e-10,,9.282359104321564e-17,1.3552728683204635e-18,1,3,0.0671989160036901,True,True,,data/raw/conditioning/conditioning_raw_6cd01a9bebfa,7.470539009010383e-16,2.0704845229043454e-18,0.1264981200759436,0.0,3.835195556545426e-15,3.491739034078936e-06,0.999996508267062,3.1927525361400924e-17,1.0,1e-30,True,1.9853118721322176e-15,0.0008927106547943486,-1.3941266737639044,0.7134925344341646,7.871905053348295e-16,767.4110366446545,3.0223233431280015e-29,0.3567462672170816,80.0,0.0,3044.606949884964,,,,,,,,,,,,,,,,,,,,4.8113200728365644e-11,2980.9579870417288,2.450328828872309e-11,,,,,,,,,,,
conditioning_raw_a3b85519c360,conditioning,raw,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,5.237847210908368e-11,5.4770032786155725e-11,8.572316190225138e-10,,0.0,0.0,1,3,0.009547165987896733,True,True,,data/raw/conditioning/conditioning_raw_a3b85519c360,4.405565372770043e-14,0.0,0.12649812007594388,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,0.0008927106547949037,-1.3941266737639044,0.7134925344341698,5.917202112491882e-14,1.00000000000019,0.0,0.3567462672170847,80.0,0.0,1.0000000000001945,,,,,,,,,,,,,,,,,,,,2.2868670173937047e-11,1.0,2.4501733975057505e-11,,,,,,,,,,,
conditioning_raw_bc58f4524f02,conditioning,raw,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.1518987341772152,12.0,0.0,0.0,SUCCESS,SUCCESS,7.060239953547276e-11,5.477145456030831e-11,8.572311749333039e-10,,7.747515660905015e-17,6.757139291193908e-18,1,3,0.07182100000500213,True,True,,data/raw/conditioning/conditioning_raw_bc58f4524f02,7.540477301873902e-16,2.6906452866570516e-18,0.12649812007594352,0.0,2.941660137396382e-15,1.651729256125298e-09,0.9999999983482708,4.4748642941147816e-17,0.9999999999999969,1e-30,True,1.2389996431887543e-15,0.0008927106547905739,-1.3941266737639044,0.7134925344341654,7.989529955959268e-16,37153.24770896311,2.5302713534963954e-28,0.3567462672170823,80.0,0.0,168159.4246318252,,,,,,,,,,,,,,,,,,,,4.554336154122836e-11,162754.79141900392,2.450439851042878e-11,,,,,,,,,,,
conditioning_rescaled_235b2090603e,conditioning,rescaled,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.05063291139240506,4.0,0.0,0.0,SUCCESS,SUCCESS,7.333133112056489e-11,5.477067448264652e-11,8.572316190225138e-10,,0.0,0.0,1,3,0.012511000008089468,True,True,,data/raw/conditioning/conditioning_rescaled_235b2090603e,4.9370234776578433e-14,0.0,0.12649812007594322,0.0,0.0,0.005398664823583175,0.994615829610579,0.0,1.0,1e-30,True,7.77021551871979e-17,0.0008927106547940156,-1.3941266737639044,0.713492534434168,7.18576906701205e-14,17.076700445782603,0.0,0.3567462672170838,80.0,0.0,54.59815003314445,,,,,,,,,,,,,,,,,,,,4.694275929160849e-11,54.598150033144236,2.450284419808213e-11,,,,,,,,,,,
conditioning_rescaled_862fb7afb23a,conditioning,rescaled,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,5.237847210908368e-11,5.4770032786155725e-11,8.572316190225138e-10,,0.0,0.0,1,3,0.012677457998506725,True,True,,data/raw/conditioning/conditioning_rescaled_862fb7afb23a,4.405565372770043e-14,0.0,0.12649812007594388,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,0.0008927106547949037,-1.3941266737639044,0.7134925344341698,5.917202112491882e-14,1.00000000000019,0.0,0.3567462672170847,80.0,0.0,1.0000000000001945,,,,,,,,,,,,,,,,,,,,2.2868670173937047e-11,1.0,2.4501733975057505e-11,,,,,,,,,,,
