run_id,study,kind,config_hash,git_commit,git_dirty,git_diff_sha256,source_config_hash,L,U,g,q,lambda,chi,status,message,field_residual,density_residual,number_residual,s_min,max_density_imaginary,total_density_imaginary,mu_evaluations,total_scf_iterations,wall_seconds,accepted,requested,reason,raw_directory,biorthogonality_error,bulk_pair_product_imag,bulk_pair_product_real,complex_fraction,gamma_max_over_t,global_conjugacy_K,global_conjugacy_violation,max_pair_product_imaginary,metric_K_real,metric_epsilon,metric_phase_stable,metric_violation,minimum_eigenvalue_separation,mu,occupied_unoccupied_separation,projector_idempotency,projector_norm,projector_trace_error,real_line_gap,real_part_occupied_rank,real_part_projector_difference,right_condition,delta_P_bulk,delta_P_bulk_one_third,delta_P_bulk_two_thirds,delta_P_full,seed_method,trial_index,audit_index,audit_location,audit_maximum_density_imaginary,audit_minimum_branch_overlap,audit_monotone,audit_target_crossings,branch_message,branch_terminated,density_error_to_endpoint,pair_product_error_to_endpoint,projector_error_to_endpoint,spectrum_error_to_endpoint,mp_similarity_error,covariance_error,similarity_condition,spectrum_error,map_error,component_error,density_error,pair_product_error,scale_imag,scale_real,pair_product_error_to_nh,density_uniformity,momentum_spectrum_error,pair_uniformity,green_covariance_max
fig2_hermitian_03194dbc8d9e,fig2,hermitian,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,6.323966458718351e-11,6.883366246914576e-11,8.384697380847683e-10,,0.0,0.0,32,8103,25.21171995799523,True,True,,data/raw/fig2/fig2_hermitian_03194dbc8d9e,4.372003337617501e-14,0.0,0.12649812006845132,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,0.0008927106810406871,-1.3941266737639044,0.7134925344126497,5.6177238993711073e-14,1.0000000000001454,0.0,0.3567462672063244,80.0,0.0,1.0000000000001497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig2_hermitian_1bb070359f1a,fig2,hermitian,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,24,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,8.482369316512883e-11,3.771264497651711e-11,7.619779252010517e-10,,0.0,0.0,26,7105,2.609114207996754,True,True,,data/raw/fig2/fig2_hermitian_1bb070359f1a,1.2585285837962031e-14,0.0,0.12415580281408256,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,0.01912073608921183,-1.374346883571062,0.7184264415346338,1.6754404460065876e-14,1.0000000000000393,3.552713678800501e-15,0.359213220767316,24.0,0.0,1.0000000000000384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig2_hermitian_5db568ac19f6,fig2,hermitian,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,120,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,8.523377617775304e-11,7.527849347791897e-11,9.936936828935927e-10,,0.0,0.0,32,8026,55.16321541700745,True,True,,data/raw/fig2/fig2_hermitian_5db568ac19f6,7.355810911345132e-14,0.0,0.1266558601228511,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,0.00033684710377235305,-1.397012045210514,0.7126438738582643,8.84080906189014e-14,1.0000000000004048,2.842170943040401e-14,0.356321936929132,120.0,0.0,1.00000000000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig2_hermitian_9e22bd48c335,fig2,hermitian,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,40,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,6.435443239343042e-11,7.686843985063673e-11,6.397664620294563e-10,,0.0,0.0,32,7834,7.1505382920004195,True,True,,data/raw/fig2/fig2_hermitian_9e22bd48c335,3.109389410226709e-14,0.0,0.12616890264278546,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,0.0018191677580565724,-1.3855207912384604,0.7211747364326242,4.2163692098707525e-14,1.0000000000001217,0.0,0.3605873682163119,40.0,0.0,1.0000000000001223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig2_mapped_02bd834fa426,fig2,mapped,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,40,2.0,0.05128205128205128,2.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,6.397664620294563e-10,,0.0,0.0,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_02bd834fa426,5.066043903206183e-16,0.0,0.12616890264278544,0.0,1.0146796587062435e-15,0.14673384435877346,0.8626029613995451,0.0,1.0,1e-30,True,3.215365300303534e-17,0.0018191677580570165,-1.3855207912384604,0.7211747364326215,7.149607934903013e-16,2.451178199177498,1.9672218823948982e-29,0.3605873682163094,40.0,0.0,7.425482454290828,,,,,,,,,,,,,,,,,,,,,,,8.084915384670216e-11,,,,,,,,,,
fig2_mapped_07266a522dfc,fig2,mapped,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.05063291139240506,4.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,8.384697380847683e-10,,0.0,0.0,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_07266a522dfc,7.393661177638862e-16,0.0,0.12649812006845132,0.0,1.999031216712651e-15,0.005398664823580145,0.994615829610582,0.0,0.9999999999999999,1e-30,True,9.969553559723141e-17,0.0008927106810375784,-1.3941266737639044,0.7134925344126488,1.1326163665387252e-15,17.076700445539874,2.4388127922973343e-28,0.3567462672063225,80.0,0.0,55.07938629305425,,,,,,,,,,,,,,,,,,,,,,,8.841094842532063e-11,,,,,,,,,,
fig2_mapped_073e570fa7f0,fig2,mapped,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,120,2.0,0.05042016806722689,6.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,9.936936828935927e-10,,0.0,0.0,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_073e570fa7f0,8.360210763916817e-16,0.0,0.1266558601228511,0.0,1.8923813429076833e-15,0.00014851336944354143,0.9998514976570293,0.0,1.0,1e-30,True,5.571283793752239e-17,0.0003368471037592524,-1.397012045210514,0.7126438738582592,1.0090324046369677e-15,126.2862097911278,1.4210854715202004e-14,0.35632193692912784,120.0,0.0,408.7643965944501,,,,,,,,,,,,,,,,,,,,,,,1.9620143390764797e-10,,,,,,,,,,
fig2_mapped_07de23cfdbbd,fig2,mapped,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,80,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,8.384697380847683e-10,,0.0,0.0,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_07de23cfdbbd,4.372003337617501e-14,0.0,0.12649812006845132,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,0.0008927106810406871,-1.3941266737639044,0.7134925344126497,5.6177238993711073e-14,1.0000000000001454,0.0,0.3567462672063244,80.0,0.0,1.0000000000001497,,,,,,,,,,,,,,,,,,,,,,,6.323966459049735e-11,,,,,,,,,,
fig2_mapped_2b30609ab2f1,fig2,mapped,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,120,2.0,0.01680672268907563,2.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,9.936936828935927e-10,,0.0,0.0,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_2b30609ab2f1,8.888741658386659e-16,0.0,0.1266558601228511,0.0,1.2821288509350013e-15,0.14763116088501654,0.8618121573619495,0.0,1.0,1e-30,True,7.032024753287217e-17,0.00033684710376646887,-1.397012045210514,0.7126438738582639,1.1394698510707152e-15,2.9872219034122467,2.022935183826132e-28,0.3563219369291306,120.0,0.0,7.403938586546973,,,,,,,,,,,,,,,,,,,,,,,1.3541539984610903e-10,,,,,,,,,,
fig2_mapped_3f6521ec9e2f,fig2,mapped,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,120,2.0,0.06722689075630252,8.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,9.936936828935927e-10,,0.0,0.0,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_3f6521ec9e2f,9.259960352316967e-16,0.0,0.1266558601228511,0.0,3.555195260302256e-15,3.5967322749995618e-06,0.9999964032741933,0.0,1.0,1e-30,True,4.765642377710914e-17,0.00033684710376935545,-1.397012045210514,0.7126438738582628,9.645258762554896e-16,864.7499881392616,7.3410902801801595e-28,0.35632193692913133,120.0,0.0,3036.3708385011832,,,,,,,,,,,,,,,,,,,,,,,2.1202154822203184e-10,,,,,,,,,,
