run_id,study,kind,config_hash,git_commit,source_config_hash,L,U,g,q,lambda,chi,status,message,field_residual,density_residual,number_residual,s_min,mu_evaluations,total_scf_iterations,wall_seconds,accepted,requested,reason,raw_directory,bulk_pair_product_imag,bulk_pair_product_real,complex_fraction,gamma_max_over_t,metric_K_real,metric_phase_stable,metric_violation,minimum_eigenvalue_separation,mu,right_condition,mp_similarity_error,covariance_error,similarity_condition,spectrum_error,map_error,component_error,density_error,pair_product_error,scale_imag,scale_real,delta_P_bulk,delta_P_full,seed_method,trial_index,branch_message,branch_terminated,pair_product_error_to_nh,density_uniformity,momentum_spectrum_error,pair_uniformity,density_error_to_endpoint,pair_product_error_to_endpoint,spectrum_error_to_endpoint,green_covariance_max
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,6.32395092206552e-11,6.883457268567379e-11,8.384710703523979e-10,,32,8103,62.529146315995604,True,True,,data/raw/conditioning/conditioning_hermitian_reference_60183f0ca98b,0.0,0.1264981200684503,0.0,0.0,1.0,True,0.0,0.0008927106810379115,-1.3941266737639044,1.0000000000003257,,,,,,,,,,,,,,,,,,,,,,,,
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.34782608695652173,8.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,7.619783692902615e-10,,1,0,0.0,True,True,,data/raw/conditioning/conditioning_high_precision_6ddd829ef8bc,0.0,0.12415580281408296,0.0,0.0,1.0,True,6.447445154654458e-17,0.019120736089211388,-1.374346883571062,3183.6432627450326,2.1589021185524454e-16,,,,,,,,,,,,,,,,,,,,,,,
conditioning_high_precision_fdd50e8d60b7,conditioning,high_precision,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.5217391304347826,12.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,7.619783692902615e-10,,1,0,0.0,True,True,,data/raw/conditioning/conditioning_high_precision_fdd50e8d60b7,0.0,0.12415580281408296,0.0,0.0,0.9999999999999999,True,7.440524122587294e-17,0.01912073608921161,-1.374346883571062,180219.06128939567,2.0859080494936936e-16,,,,,,,,,,,,,,,,,,,,,,,
conditioning_raw_7ef6e66d0229,conditioning,raw,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.10126582278481013,8.0,0.0,0.0,SUCCESS,SUCCESS,7.449292462649989e-11,5.477080332462782e-11,8.572320631117236e-10,,1,3,0.15212634205818176,True,True,,data/raw/conditioning/conditioning_raw_7ef6e66d0229,-4.2875643583595653e-19,0.12649812007594272,0.0,2.2431389148937777e-15,1.0000000000000013,True,1.2080601376842619e-15,0.0008927106547905739,-1.3941266737639044,3044.6069498849615,,4.8112124919321897e-11,2980.9579870417288,2.4501956019668443e-11,,,,,,,,,,,,,,,,,,,,
conditioning_raw_a3d1ee714060,conditioning,raw,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,5.23779517027706e-11,5.476895429593238e-11,8.57232396178631e-10,,1,3,0.02292163111269474,True,True,,data/raw/conditioning/conditioning_raw_a3d1ee714060,0.0,0.12649812007594316,0.0,0.0,0.9999999999999999,True,1.5754644856060775e-16,0.0008927106547930164,-1.3941266737639044,1.0000000000002078,,2.286869844242283e-11,1.0,2.4501289885847655e-11,,,,,,,,,,,,,,,,,,,,
conditioning_raw_ad60d1c64a33,conditioning,raw,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.1518987341772152,12.0,0.0,0.0,SUCCESS,SUCCESS,7.060356109780046e-11,5.477117917339947e-11,8.572320631117236e-10,,1,3,0.16007139487192035,True,True,,data/raw/conditioning/conditioning_raw_ad60d1c64a33,4.666613776444523e-18,0.12649812007594283,0.0,1.955931768819255e-15,0.9999999999999989,True,2.767337939453147e-15,0.0008927106547907959,-1.3941266737639044,168159.4246311494,,4.554216603166213e-11,162754.79141900392,2.4508395313205692e-11,,,,,,,,,,,,,,,,,,,,
conditioning_raw_be9f03d9d7b4,conditioning,raw,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.05063291139240506,4.0,0.0,0.0,SUCCESS,SUCCESS,7.3325241271537e-11,5.477096208615637e-11,8.572320631117236e-10,,1,3,0.14916810113936663,True,True,,data/raw/conditioning/conditioning_raw_be9f03d9d7b4,-1.985135340401302e-18,0.12649812007594283,0.0,1.678393120390831e-15,1.0000000000000013,True,1.4388495368248607e-15,0.0008927106547886865,-1.3941266737639044,55.079386292958986,,4.694156669265494e-11,54.598150033144236,2.4496626949144252e-11,,,,,,,,,,,,,,,,,,,,
conditioning_raw_c6c0cd11c6b1,conditioning,raw,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.20253164556962025,16.0,0.0,0.0,SUCCESS,SUCCESS,6.587362265458634e-11,5.4771297301743766e-11,8.572320631117236e-10,,1,3,0.14676587469875813,True,True,,data/raw/conditioning/conditioning_raw_c6c0cd11c6b1,6.598096655085234e-19,0.12649812007594294,0.0,1.3130215727179914e-14,0.9999999999999953,True,2.4776532052357978e-15,0.0008927106547890196,-1.3941266737639044,9284060.026029402,,4.285735477393876e-11,8886110.520507872,2.450217807627756e-11,,,,,,,,,,,,,,,,,,,,
conditioning_rescaled_16024bbf0a1c,conditioning,rescaled,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.10126582278481013,8.0,0.0,0.0,SUCCESS,SUCCESS,7.44994561620541e-11,5.4771245222881616e-11,8.572327292455384e-10,,1,3,0.03881653118878603,True,True,,data/raw/conditioning/conditioning_rescaled_16024bbf0a1c,0.0,0.12649812007594302,0.0,0.0,1.0,True,1.571283949822535e-16,0.0008927106547932384,-1.3941266737639044,2980.957987041815,,4.810740789918394e-11,2980.9579870417288,2.4502178064267355e-11,,,,,,,,,,,,,,,,,,,,
conditioning_rescaled_1d61b334b2b9,conditioning,rescaled,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.1518987341772152,12.0,0.0,0.0,SUCCESS,SUCCESS,7.060309318294507e-11,5.477020969622912e-11,8.572312859556064e-10,,1,3,0.03916044207289815,True,True,,data/raw/conditioning/conditioning_rescaled_1d61b334b2b9,0.0,0.12649812007594327,0.0,0.0,1.0000000000000002,True,2.5671266811534183e-16,0.0008927106547942376,-1.3941266737639044,162754.79141948585,,4.553565528793066e-11,162754.79141900392,2.450062375203288e-11,,,,,,,,,,,,,,,,,,,,
