run_id,study,kind,config_hash,git_commit,source_config_hash,L,U,g,q,lambda,chi,status,message,field_residual,density_residual,number_residual,s_min,mu_evaluations,total_scf_iterations,wall_seconds,accepted,requested,reason,raw_directory,bulk_pair_product_imag,bulk_pair_product_real,complex_fraction,gamma_max_over_t,metric_K_real,metric_phase_stable,metric_violation,minimum_eigenvalue_separation,mu,right_condition,mp_similarity_error,covariance_error,similarity_condition,spectrum_error,map_error,component_error,density_error,pair_product_error,scale_imag,scale_real,delta_P_bulk,delta_P_full,seed_method,trial_index,branch_message,branch_terminated,pair_product_error_to_nh,density_uniformity,momentum_spectrum_error,pair_uniformity,density_error_to_endpoint,pair_product_error_to_endpoint,spectrum_error_to_endpoint,green_covariance_max
fig2_hermitian_03194dbc8d9e,fig2,hermitian,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,6.32395092206552e-11,6.883457268567379e-11,8.384710703523979e-10,,32,8103,59.9890006929636,True,True,,data/raw/fig2/fig2_hermitian_03194dbc8d9e,0.0,0.1264981200684503,0.0,0.0,1.0,True,0.0,0.0008927106810379115,-1.3941266737639044,1.0000000000003257,,,,,,,,,,,,,,,,,,,,,,,,
fig2_hermitian_1bb070359f1a,fig2,hermitian,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,8.482354674607424e-11,3.771261261871708e-11,7.619783692902615e-10,,26,7105,5.676267904229462,True,True,,data/raw/fig2/fig2_hermitian_1bb070359f1a,0.0,0.12415580281408296,0.0,0.0,1.0,True,0.0,0.01912073608921272,-1.374346883571062,1.0000000000000113,,,,,,,,,,,,,,,,,,,,,,,,
fig2_hermitian_5db568ac19f6,fig2,hermitian,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,120,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,8.523355087038791e-11,7.527916766507261e-11,9.93694238005105e-10,,32,8026,152.42456684075296,True,True,,data/raw/fig2/fig2_hermitian_5db568ac19f6,0.0,0.12665586012285115,0.0,0.0,1.0,True,0.0,0.0003368471037716869,-1.397012045210514,1.0000000000001854,,,,,,,,,,,,,,,,,,,,,,,,
fig2_hermitian_9e22bd48c335,fig2,hermitian,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,6.435753903120846e-11,7.686370837123888e-11,6.397635754495923e-10,,32,7834,14.657810742035508,True,True,,data/raw/fig2/fig2_hermitian_9e22bd48c335,0.0,0.1261689026427852,0.0,0.0,1.0,True,0.0,0.0018191677580605692,-1.3855207912384604,1.0000000000001095,,,,,,,,,,,,,,,,,,,,,,,,
fig2_mapped_07becbc166f1,fig2,mapped,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.02531645569620253,2.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,8.384710703523979e-10,,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_07becbc166f1,0.0,0.1264981200684503,0.0,5.427792580365553e-16,1.0,True,1.0691986423764165e-16,0.0008927106810383556,-1.3941266737639044,7.407406441979011,,,,,7.935837977708225e-11,,,,,,,,,,,,,,,,,,,
fig2_mapped_09baca7cf19a,fig2,mapped,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.05063291139240506,4.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,8.384710703523979e-10,,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_09baca7cf19a,0.0,0.1264981200684503,0.0,1.811455650173217e-15,0.9999999999999999,True,2.0423993041962216e-16,0.0008927106810376895,-1.3941266737639044,55.07938629305442,,,,,8.84108872106671e-11,,,,,,,,,,,,,,,,,,,
fig2_mapped_16675cb2a916,fig2,mapped,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,80,2.0,0.12658227848101267,10.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,8.384710703523979e-10,,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_16675cb2a916,0.0,0.1264981200684503,0.0,1.6842152824376566e-15,1.0,True,1.0558168221207957e-16,0.0008927106810382446,-1.3941266737639044,22628.431419154356,,,,,9.022608326736224e-11,,,,,,,,,,,,,,,,,,,
fig2_mapped_17ccf8abee22,fig2,mapped,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,6.397635754495923e-10,,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_17ccf8abee22,0.0,0.1261689026427852,0.0,0.0,1.0,True,0.0,0.0018191677580605692,-1.3855207912384604,1.0000000000001095,,,,,6.435753903416326e-11,,,,,,,,,,,,,,,,,,,
fig2_mapped_1bea6468d936,fig2,mapped,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.0,0.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,7.619783692902615e-10,,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_1bea6468d936,0.0,0.12415580281408296,0.0,0.0,1.0,True,0.0,0.01912073608921272,-1.374346883571062,1.0000000000000113,,,,,8.482354674607424e-11,,,,,,,,,,,,,,,,,,,
fig2_mapped_1d0ed88c638d,fig2,mapped,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05128205128205128,2.0,0.0,0.0,SUCCESS,SUCCESS,0.0,0.0,6.397635754495923e-10,,1,0,0.0,True,True,,data/raw/fig2/fig2_mapped_1d0ed88c638d,0.0,0.1261689026427852,0.0,4.0806293168626713e-16,1.0,True,1.4594798369753375e-16,0.001819167758054352,-1.3855207912384604,7.425482454290777,,,,,8.08492687867677e-11,,,,,,,,,,,,,,,,,,,
