run_id,study,kind,config_hash,git_commit,git_dirty,git_diff_sha256,source_config_hash,L,U,g,q,lambda,chi,status,message,field_residual,density_residual,number_residual,s_min,max_density_imaginary,total_density_imaginary,mu_evaluations,total_scf_iterations,wall_seconds,accepted,requested,reason,raw_directory,biorthogonality_error,bulk_pair_product_imag,bulk_pair_product_real,complex_fraction,gamma_max_over_t,global_conjugacy_K,global_conjugacy_violation,max_pair_product_imaginary,metric_K_real,metric_epsilon,metric_phase_stable,metric_violation,minimum_eigenvalue_separation,mu,occupied_unoccupied_separation,projector_idempotency,projector_norm,projector_trace_error,real_line_gap,real_part_occupied_rank,real_part_projector_difference,right_condition,delta_P_bulk,delta_P_bulk_one_third,delta_P_bulk_two_thirds,delta_P_full,seed_method,trial_index,audit_index,audit_location,audit_maximum_density_imaginary,audit_minimum_branch_overlap,audit_monotone,audit_target_crossings,branch_message,branch_terminated,density_error_to_endpoint,pair_product_error_to_endpoint,projector_error_to_endpoint,spectrum_error_to_endpoint,mp_similarity_error,covariance_error,similarity_condition,spectrum_error,map_error,component_error,density_error,pair_product_error,scale_imag,scale_real,pair_product_error_to_nh,density_uniformity,momentum_spectrum_error,pair_uniformity,green_covariance_max
fig4_bandwidth_control_a7da4c2ffb78,fig4,bandwidth_control,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,24,2.0,0.0,0.0,1.0,1.0,SUCCESS,SUCCESS,1.0449487044809241e-11,5.676350596607838e-11,4.68891925287096e-10,,0.0,0.0,31,3013,2.0134417500084965,True,True,,data/raw/fig4/fig4_bandwidth_control_a7da4c2ffb78,2.640628876771778e-15,0.0,0.1281919608378104,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,3.3306690738754696e-16,-1.3994662783386538,0.7342542242287702,3.529269873417137e-15,1.0000000000000047,0.0,0.36712711211438465,24.0,0.0,1.000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4527699710452026e-11,,,,
fig4_bandwidth_control_e53beb181542,fig4,bandwidth_control,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,40,2.0,0.0,0.0,1.0,1.0,SUCCESS,SUCCESS,5.544744867463805e-11,6.036264554121746e-11,8.881486657230653e-10,,0.0,0.0,32,3541,6.782614999989164,True,True,,data/raw/fig4/fig4_bandwidth_control_e53beb181542,7.56029314546925e-15,0.0,0.12649947812902956,0.0,0.0,1.0,0.0,0.0,1.0,1e-30,True,0.0,0.0,-1.4037186166108504,0.711975078572498,9.55326275593151e-15,1.000000000000033,0.0,0.35598753928624893,40.0,0.0,1.0000000000000275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.020442754491373e-11,,,,
fig4_branch_trial_02fa903ae248,fig4,branch_trial,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,24,2.0,0.05,1.1500000000000001,7.196856730011514e-06,2.3894405819821644e-05,SUCCESS,SUCCESS,8.729734821241252e-11,4.926317130981953e-11,6.045700606804871e-10,0.999999999997338,7.015359674615891e-27,1.520359993225475e-29,13,1601,2.793327291001333,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_02fa903ae248,3.987177028557732e-16,-8.471089567969461e-29,0.12415582739770026,0.0,1.5054823220235154e-28,0.4634084157888655,0.6055348660038463,8.42903310057105e-28,1.0000004432791643,1e-30,True,1.592097789089186e-07,0.019123437957792033,-1.3743468211746697,0.718426395945009,3.994683327953336e-16,1.3134274727678985,1.0496318196910435e-32,0.3592131979725044,24.0,0.0,3.1581925841971024,1.981215913140797e-07,1.9715300487602054e-07,2.004323026550686e-07,1.9206329382974055e-07,direct_obc,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig4_branch_trial_03a105272ae3,fig4,branch_trial,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,24,2.0,0.05,1.1500000000000001,0.08483428982440708,0.2816597612743509,SUCCESS,SUCCESS,9.034043756806328e-11,5.512922529139246e-11,6.417518738643935e-10,0.9998339556142323,7.875184916052451e-26,4.331945598693013e-27,18,6814,12.454323083002237,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_03a105272ae3,4.021469411671894e-16,9.790108730940946e-28,0.12456366288370996,0.0,2.1080798362150506e-26,0.506897758054872,0.5720402597552784,4.280696612196772e-26,0.9035560213595694,1e-30,True,0.03349445936542823,0.004006208178921389,-1.3738595831949674,0.7273166985376993,4.648210828341169e-16,1.2729942803323127,5.38056678213184e-33,0.3636583492688489,24.0,0.0,5.903855259570413,0.0034564463213342567,0.0027978131522909265,0.004956543833034177,0.016139061975738417,direct_obc,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig4_branch_trial_08151710418f,fig4,branch_trial,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,24,2.0,0.05,1.1500000000000001,0.011787686347935854,0.03913649692369241,SUCCESS,SUCCESS,6.82502465858667e-11,8.041067640670003e-11,3.1851077331168653e-11,0.9999985201610551,1.7171716762195977e-26,6.808448434252689e-29,18,4377,7.908491167007014,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_08151710418f,3.5473495931568347e-16,-6.331607367940099e-29,0.12419895876801908,0.0,5.67822574163007e-28,0.46405208531218356,0.605038525471044,3.421521272654261e-27,0.9984759197364206,1e-30,True,0.0005374055139012692,0.023545270173513044,-1.3742481006118072,0.7184931544102131,4.2586037376611156e-16,1.312882246615885,1.4444474582904269e-33,0.3592465772051062,24.0,0.0,3.1643529806232347,0.0003485889448126613,0.0003339440116361782,0.0003697005890801813,0.0005235301029839794,direct_obc,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig4_branch_trial_0a3219224121,fig4,branch_trial,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,24,2.0,0.05,1.1500000000000001,0.6105402296585326,2.027064948500753,SUCCESS,SUCCESS,5.135208416850294e-11,6.923913553116031e-11,4.049166557607009e-10,0.9838260270921567,1.8446984441767979e-16,1.3383174895910017e-17,25,6200,11.684299332991941,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_0a3219224121,4.78289836577154e-16,1.0601008887792183e-18,0.1269095780686204,0.8333333333333334,0.0904434649429727,0.9774819107934286,0.10671107817951507,1.739454458858754e-16,0.23185567756691344,1e-30,True,0.39691568966389434,0.022652617880148274,-1.3850044974090903,0.7571714113483996,5.15191679388316e-16,1.0119766327703483,7.311143387279217e-17,0.3785857056741993,24.0,0.0,4.685258859827293,0.027901296507461065,0.021141292992228805,0.0570407631716438,0.204160614324505,direct_obc,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig4_branch_trial_12481161dc9b,fig4,branch_trial,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,40,2.0,0.05,1.9500000000000002,5.179474679231202e-05,0.0003827142896783019,SUCCESS,SUCCESS,6.15111225198779e-11,7.973100562254406e-11,2.1375856640304391e-10,0.9999999998215235,1.8806852283040747e-17,2.3316620400281772e-18,14,2131,15.819770583999343,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_12481161dc9b,4.3158074648063026e-16,-1.1890888882502256e-18,0.12616892833880541,0.0,2.2205157250197796e-16,0.1581884999172784,0.8525459645106065,1.1440780849236081e-17,1.0000005468809658,1e-30,True,9.309251336885619e-08,0.0018462837985440128,-1.385520811048357,0.7211705235948134,5.087619992842125e-16,2.359028426899423,1.2572470676959876e-30,0.3605852617974065,40.0,0.0,7.0286235760401246,2.0234131549718325e-07,2.0269980715343443e-07,2.0403293577876433e-07,2.1659343086710692e-07,direct_obc,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig4_branch_trial_15a355dd64a2,fig4,branch_trial,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,40,2.0,0.05,1.9500000000000002,0.001,0.007389056098930651,SUCCESS,SUCCESS,8.706223868890608e-11,6.718400832076347e-11,7.820530889546262e-10,0.9999999857833434,6.893590759970594e-18,8.107456434415443e-20,13,3162,24.314296875003492,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_15a355dd64a2,4.405514845292517e-16,-1.127149845385027e-18,0.1261694026284366,0.0,6.607919790974205e-16,0.15821086077129518,0.8525264117230283,1.2904032247609744e-17,0.9998512715329405,1e-30,True,2.7131466032296048e-05,0.002342979823440672,-1.3855211870249193,0.7211004031267937,6.065020521427201e-16,2.358869568585354,2.8557689215373933e-29,0.3605502015633955,40.0,0.0,7.029046412545518,3.964941205657186e-06,3.9599958413729535e-06,4.242923132545387e-06,1.0710989927948144e-05,direct_obc,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig4_branch_trial_15f9fde7ac49,fig4,branch_trial,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,24,2.0,0.05,1.1500000000000001,0.05179474679231202,0.17196461533400967,SUCCESS,SUCCESS,9.761237920786038e-11,2.83559841779082e-12,4.5371029155916176e-10,0.9999587699045943,2.3532978627589461e-26,1.8941147372639253e-27,13,6431,11.84835962500074,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_15f9fde7ac49,3.6824282495409843e-16,-6.591448476424145e-26,0.12438297228117635,0.0,1.31717508307953e-25,0.48006167388861065,0.5927014769657617,4.788463173510892e-25,0.9618644152556881,1e-30,True,0.013104863758411335,0.018342992741816055,-1.3739823254372694,0.7211935068653186,4.181900522160995e-16,1.2974822219909958,4.4296388720906425e-33,0.36059675343265873,24.0,0.0,3.31381485801433,0.0018781324617645925,0.001615034226423101,0.002414563276957107,0.006709459878603256,direct_obc,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig4_branch_trial_1807d7ceb7f9,fig4,branch_trial,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,dd7df74cc39d8e3e42ab1c4169c16fdc190b787e,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fad38ae4cee1bd744751bfb0ca3a75545fb1a759045ad4e6c01d3b230936bb19,40,2.0,0.05,1.9500000000000002,7.1968567300115285e-12,5.317797811402178e-11,SUCCESS,SUCCESS,7.078854388380988e-11,2.95163415868585e-11,8.39145863906765e-10,0.9999999999999993,2.043704663165017e-17,8.76311467327563e-19,1,3,0.02288479199341964,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_1807d7ceb7f9,4.1839290551638376e-16,-2.058197726610064e-18,0.12616890281238785,0.0,4.346348995036105e-16,0.1581885912586913,0.8525458846391905,2.3463319093233038e-17,0.9999999999864544,1e-30,True,1.9627239225950642e-12,0.0018191756871570597,-1.3855207939585132,0.7211747383860081,5.800052196480548e-16,2.3590274999654914,1.9746174533813452e-29,0.36058736919300327,40.0,0.0,7.02868758057886,2.313946910251649e-11,1.987486701382259e-11,3.084795047118118e-11,1.0078300621676965e-10,direct_obc,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
