run_id,L,g,mu,audit_location,audit_index,achieved_filling
branch_audit_filling_audit_00477770b84b,40,0.05,-1.3787186165875358,pbc,3,0.8130998980146986
branch_audit_filling_audit_0136ef575521,40,0.1,-1.381188924399614,pbc,3,0.8130252889471699
branch_audit_filling_audit_018e2edf9251,40,0.05,-1.4355207939585133,obc,0,0.7732760807433531
branch_audit_filling_audit_07b88932ccda,40,0.05,-1.3855207939585132,obc,2,0.7999999991629184
branch_audit_filling_audit_14f7553a9693,40,0.05,-1.3355207939585132,obc,4,0.8261157845550511
branch_audit_filling_audit_17ce4b6a74af,24,0.05,-1.4243468846512324,obc,0,0.7730688823632219
branch_audit_filling_audit_1aee80cb7630,20,0.1,-1.3581559195193889,pbc,4,0.8303866889608692
branch_audit_filling_audit_20c07041b957,40,0.1,-1.3561889243996141,pbc,4,0.8258564752013345
branch_audit_filling_audit_237e80c66feb,20,0.1,-1.408155919519389,pbc,2,0.8000000004798136
branch_audit_filling_audit_2aace22af439,40,0.1,-1.3605207930946146,obc,3,0.8131286653748383
branch_audit_filling_audit_2c36d3ff2ffe,40,0.05,-1.33605461635253,middle,4,0.8261282862717925
branch_audit_filling_audit_2fea88959fb4,24,0.05,-1.3738746739680745,middle,2,0.7999999997516749
branch_audit_filling_audit_3296b6e062e5,24,0.1,-1.3236916309839255,middle,4,0.8270629350337234
branch_audit_filling_audit_3ef3dd978f45,20,0.1,-1.458155919519389,pbc,0,0.7689843017834874
branch_audit_filling_audit_40c4c4b55f26,40,0.05,-1.403718616587536,pbc,2,0.7999999991804414
branch_audit_filling_audit_4500dbbf9830,40,0.1,-1.3855207930946145,obc,2,0.79999999959132
branch_audit_filling_audit_475a4140ac02,24,0.1,-1.4236916309839256,middle,0,0.7731153088430798
branch_audit_filling_audit_51409ad36b79,24,0.05,-1.3243468846512323,obc,4,0.8260170028541792
branch_audit_filling_audit_5168181d6218,24,0.1,-1.3493468849439685,obc,3,0.8131209222623154
branch_audit_filling_audit_55f47265021a,40,0.05,-1.353718616587536,pbc,4,0.8260072712880525
branch_audit_filling_audit_5728b56f0db2,24,0.1,-1.3743468849439684,obc,2,0.8000000000390591
branch_audit_filling_audit_57c8208b4d32,40,0.1,-1.4374751874320426,middle,0,0.7732455084630934
branch_audit_filling_audit_5af9e073e231,20,0.1,-1.383155919519389,pbc,3,0.8154653986563851
branch_audit_filling_audit_61036087e6fc,20,0.1,-1.4203523363482515,middle,0,0.7716405679491244
branch_audit_filling_audit_641d8358dcc2,40,0.1,-1.4355207930946146,obc,0,0.7732760812097219
branch_audit_filling_audit_69d5fc9f0b1c,40,0.1,-1.4105207930946144,obc,1,0.7867202273347453
branch_audit_filling_audit_6ff1b57af429,40,0.05,-1.43605461635253,middle,0,0.7732390106103907
branch_audit_filling_audit_734f61ff5260,20,0.1,-1.3453523363482516,middle,3,0.814054271947696
branch_audit_filling_audit_73bd14edd2b8,40,0.1,-1.4561889243996142,pbc,0,0.7734954926875505
branch_audit_filling_audit_7469d7cc6b09,24,0.1,-1.3993468849439683,obc,1,0.7866326481562563
branch_audit_filling_audit_74b1fcf75cbf,24,0.05,-1.3744662782008916,pbc,3,0.8139394232515827
branch_audit_filling_audit_75ca0c3cc677,20,0.1,-1.367933109632757,obc,2,0.8000000005779302
branch_audit_filling_audit_763f03097666,40,0.1,-1.4124751874320425,middle,1,0.7866965040690099
branch_audit_filling_audit_78955df46e2e,24,0.05,-1.3238746739680745,middle,4,0.8265558905989189
branch_audit_filling_audit_7aa35f3e7eb8,24,0.1,-1.4267258982064237,pbc,1,0.7865189253084575
branch_audit_filling_audit_7d62c737ce49,40,0.05,-1.38605461635253,middle,2,0.8000000005867396
branch_audit_filling_audit_8223790e2b16,24,0.1,-1.4243468849439684,obc,0,0.7730688822014403
branch_audit_filling_audit_82da808844e2,24,0.05,-1.3494662782008915,pbc,4,0.8280992861214829
branch_audit_filling_audit_83fa352aa56b,40,0.05,-1.4105207939585132,obc,1,0.7867202268746405
branch_audit_filling_audit_8453d0d32c33,40,0.1,-1.3355207930946145,obc,4,0.8261157850030628
branch_audit_filling_audit_85d6a107a113,20,0.1,-1.417933109632757,obc,0,0.7737088162080574
branch_audit_filling_audit_88094d88a4e8,24,0.05,-1.4494662782008916,pbc,0,0.7733354229907597
branch_audit_filling_audit_922746a8d1b0,24,0.05,-1.3743468846512323,obc,2,0.8000000002357237
branch_audit_filling_audit_98166737155f,24,0.05,-1.3493468846512324,obc,3,0.8131209224120166
branch_audit_filling_audit_a43e4009af61,24,0.1,-1.3767258982064234,pbc,3,0.813890152177876
branch_audit_filling_audit_a593277deaf8,24,0.05,-1.3988746739680744,middle,1,0.7865694520530057
branch_audit_filling_audit_a781eedd5c33,40,0.1,-1.3624751874320427,middle,3,0.8131438878215806
branch_audit_filling_audit_a7eb307b5119,24,0.1,-1.4017258982064236,pbc,2,0.8000000006153837
branch_audit_filling_audit_a99f829d6a33,20,0.1,-1.317933109632757,obc,4,0.8261884854817095
branch_audit_filling_audit_ac4cedea0b61,40,0.05,-1.3610546163525301,middle,3,0.8131447337055295
branch_audit_filling_audit_b5b459a472a7,20,0.1,-1.3953523363482514,middle,1,0.7858549650811205
branch_audit_filling_audit_b6d0c6145a19,40,0.1,-1.3874751874320426,middle,2,0.800000000603697
branch_audit_filling_audit_b85c1f3d5d25,20,0.1,-1.342933109632757,obc,3,0.8130144291455428
branch_audit_filling_audit_c337449637ce,20,0.1,-1.4331559195193888,pbc,1,0.7843794689794288
branch_audit_filling_audit_cb8157a28d5b,40,0.05,-1.428718616587536,pbc,1,0.7867356152807405
branch_audit_filling_audit_cbe954e3d984,24,0.1,-1.3243468849439683,obc,4,0.8260170027065751
branch_audit_filling_audit_d154fd64f7b9,40,0.1,-1.4061889243996142,pbc,2,0.8000000007929892
branch_audit_filling_audit_d2b10da5b730,24,0.05,-1.4244662782008914,pbc,1,0.7864511705152296
branch_audit_filling_audit_d35f4edd93e7,24,0.1,-1.3986916309839255,middle,1,0.7865138832326308
branch_audit_filling_audit_d6ec39487055,24,0.1,-1.3736916309839255,middle,2,0.8000000002178288
branch_audit_filling_audit_da02f8185ca5,24,0.1,-1.4517258982064236,pbc,0,0.7734915163112085
branch_audit_filling_audit_da76024f3fc2,40,0.1,-1.4311889243996143,pbc,1,0.7868115513231749
branch_audit_filling_audit_dd6be4f43afb,24,0.05,-1.3488746739680746,middle,3,0.8133353447552482
branch_audit_filling_audit_e24e27e2b4c8,24,0.1,-1.3486916309839256,middle,3,0.813536528013402
branch_audit_filling_audit_e34aa0d7f150,40,0.05,-1.453718616587536,pbc,0,0.7733393749538608
branch_audit_filling_audit_e389e0fc0bb0,20,0.1,-1.3703523363482515,middle,2,0.7999999992689691
branch_audit_filling_audit_e6cfb5dbec38,40,0.05,-1.3605207939585133,obc,3,0.813128664922413
branch_audit_filling_audit_e7fbb4882303,20,0.1,-1.3929331096327568,obc,1,0.7869710689459005
branch_audit_filling_audit_efe4f90f2f7b,40,0.05,-1.41105461635253,middle,1,0.7866973047473946
branch_audit_filling_audit_f12f70537175,24,0.05,-1.3994662782008915,pbc,2,0.8000000005649146
branch_audit_filling_audit_f20389607c5e,40,0.1,-1.3374751874320425,middle,4,0.8261185073956685
branch_audit_filling_audit_f91cdb5ac5f5,20,0.1,-1.3203523363482514,middle,4,0.8279602520923979
branch_audit_filling_audit_fd70f960a780,24,0.1,-1.3517258982064235,pbc,4,0.8280148136345921
branch_audit_filling_audit_fda73ebb6dfe,24,0.05,-1.3993468846512322,obc,1,0.7866326483162358
branch_audit_filling_audit_ff38be8d4f8a,24,0.05,-1.4238746739680745,middle,0,0.7730931697921081
