run_id,q,g,L,omega,center_ldos,edge_ldos,local_difference,G_1L_abs,G_L1_abs,stripped_1L_abs,covariance_error
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-5.0,0.0002546361489785,0.0002003702612229,2.1684043449710093e-19,1.2064780927580635e-54,6.587147192010613e-53,8.914734309520188e-54,3.601012554430851e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.99,0.0002557717518368,0.0002011380722696,5.55121041351447e-17,1.4911270811966738e-54,8.141278009765902e-53,1.1018021653596944e-53,3.5487557484482526e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.98,0.0002569154147785,0.0002019105547145,2.775578737305794e-17,1.8440501329248078e-54,1.0068172582606602e-52,1.362578988142193e-53,3.5206164953070935e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.97,0.0002580672177795,0.0002026877486548,3.2526065174565133e-19,2.2818931745797008e-54,1.24587145905309e-52,1.6861036678736364e-53,3.8014381127656445e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.96,0.0002592272418458,0.0002034696946412,2.7755575615628914e-17,2.8254270760942543e-54,1.542630914083019e-52,2.0877239168698046e-53,3.7171177189782003e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.95,0.00026039556903,0.0002042564336846,0.0,3.500586467168755e-54,1.911255451384757e-52,2.586602978506739e-53,3.6488099579400117e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.94,0.0002615722824475,0.0002050480072622,5.551125711027526e-17,4.339774396553821e-54,2.3694365361304336e-52,3.206683647283909e-53,3.4973180207645864e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.93,0.0002627574662943,0.0002058444573248,5.55149627486669e-17,5.383501958641426e-54,2.9392924764162864e-52,3.9778997981104526e-53,3.956147111408169e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.92,0.0002639512058638,0.0002066458263032,5.551284527130373e-17,6.682450272544078e-54,3.648494225693889e-52,4.93769999421426e-53,3.908465047138211e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.91,0.0002651535875647,0.0002074521571151,5.55121041351447e-17,8.300065360002282e-54,4.531682138103059e-52,6.13296485698479e-53,3.472197390978149e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.9,0.0002663646989393,0.0002082634931724,1.1102314949223176e-16,1.031582586593326e-53,5.6322500834400474e-52,7.62242160301807e-53,4.572123099921286e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.89,0.0002675846286814,0.0002090798783879,2.776319786554118e-17,1.282936090492719e-53,7.004593715165625e-52,9.47968674399347e-53,3.5942991078151283e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.88,0.0002688134666557,0.0002099013571834,5.551115123125783e-17,1.5965642778032271e-53,8.716945597705819e-52,1.1797103014236745e-52,3.5207614055264227e-16
