study,L,g,U,window,lambda_c,chi_c,status
fig3,24,0.05,2.0,one_third,0.28119877767462964,0.9336128204103701,CROSSED
fig3,24,0.05,2.0,one_half,0.20842675891387982,0.6920012094211031,CROSSED
fig3,24,0.05,2.0,two_thirds,0.13890636087565814,0.46118535941902256,CROSSED
fig3,24,0.05,2.0,full,0.061526547098273945,0.2042753302185266,CROSSED
fig3,24,0.1,2.0,one_third,,,NOT_REACHED
fig3,24,0.1,2.0,one_half,0.06936607926756826,0.7646345265999717,CROSSED
fig3,24,0.1,2.0,two_thirds,0.04188198407328071,0.4616724976109958,CROSSED
fig3,24,0.1,2.0,full,0.018274761176341855,0.20144591576091772,CROSSED
fig3,40,0.05,2.0,one_third,,,NOT_REACHED
fig3,40,0.05,2.0,one_half,,,NOT_REACHED
fig3,40,0.05,2.0,two_thirds,0.3112157500164553,2.2995906357423657,CROSSED
fig3,40,0.05,2.0,full,0.03726552042652919,0.2753570209874702,CROSSED
fig3,40,0.1,2.0,one_third,,,NOT_REACHED
fig3,40,0.1,2.0,one_half,,,NOT_REACHED
fig3,40,0.1,2.0,two_thirds,,,NOT_REACHED
fig3,40,0.1,2.0,full,0.004970610417789006,0.2713861333467539,CROSSED
fig4,24,0.05,2.0,one_third,0.28119877767462964,0.9336128204103701,CROSSED
fig4,24,0.05,2.0,one_half,0.20842675891387982,0.6920012094211031,CROSSED
fig4,24,0.05,2.0,two_thirds,0.13890636087565814,0.46118535941902256,CROSSED
fig4,24,0.05,2.0,full,0.061526547098273945,0.2042753302185266,CROSSED
fig4,40,0.05,2.0,one_third,,,NOT_REACHED
fig4,40,0.05,2.0,one_half,,,NOT_REACHED
fig4,40,0.05,2.0,two_thirds,0.3112157500164553,2.2995906357423657,CROSSED
fig4,40,0.05,2.0,full,0.03726552042652919,0.2753570209874702,CROSSED
