study,L,g,U,quantity,threshold,lambda_c,chi_c,status,max_chi
fig3,24,0.05,2.0,metric_1e-4,0.0001,0.00566393106741215,0.01880491338612836,CROSSED,3.320116922736548
fig3,24,0.05,2.0,metric_1e-3,0.001,0.014432127061147541,0.04791634928680004,CROSSED,3.320116922736548
fig3,24,0.05,2.0,metric_1e-2,0.01,0.04306897710290801,0.1429940397243178,CROSSED,3.320116922736548
fig3,24,0.05,2.0,pair,0.01,0.20842675891387982,0.6920012094211031,CROSSED,3.320116922736548
fig3,24,0.05,2.0,gamma,0.0001,0.13914019286312998,0.46196170895770494,CROSSED,3.320116922736548
fig3,24,0.1,2.0,metric_1e-4,0.0001,0.0017795147451476999,0.01961590490771559,CROSSED,1.1023176380641606
fig3,24,0.1,2.0,metric_1e-3,0.001,0.00546533695824236,0.060245373270344814,CROSSED,1.1023176380641606
fig3,24,0.1,2.0,metric_1e-2,0.01,0.015575705394729775,0.17169374781901728,CROSSED,1.1023176380641606
fig3,24,0.1,2.0,pair,0.01,0.06936607926756826,0.7646345265999717,CROSSED,1.1023176380641606
fig3,24,0.1,2.0,gamma,0.0001,0.024594870690493726,0.2711135976803849,CROSSED,1.1023176380641606
fig3,40,0.05,2.0,metric_1e-4,0.0001,0.001790220167278033,0.013228037245454398,CROSSED,7.38905609893065
fig3,40,0.05,2.0,metric_1e-3,0.001,0.00548393911511218,0.04052113376468401,CROSSED,7.38905609893065
fig3,40,0.05,2.0,metric_1e-2,0.01,0.01860693416502736,0.1374876803744965,CROSSED,7.38905609893065
fig3,40,0.05,2.0,pair,0.01,,,NOT_REACHED,7.38905609893065
fig3,40,0.05,2.0,gamma,0.0001,0.01947367374032674,0.14389206771954696,CROSSED,7.38905609893065
fig3,40,0.1,2.0,metric_1e-4,0.0001,0.0003144823545008303,0.017170154773812785,CROSSED,5.459815003314424
fig3,40,0.1,2.0,metric_1e-3,0.001,0.0009303278707060693,0.050794180664825585,CROSSED,5.459815003314424
fig3,40,0.1,2.0,metric_1e-2,0.01,0.0032854351678064243,0.17937868221606357,CROSSED,5.459815003314424
fig3,40,0.1,2.0,pair,0.01,,,NOT_REACHED,5.459815003314424
fig3,40,0.1,2.0,gamma,0.0001,0.0015321074466854228,0.08365023224102824,CROSSED,5.459815003314424
fig4,24,0.05,2.0,metric_1e-4,0.0001,0.00566393106741215,0.01880491338612836,CROSSED,3.320116922736548
fig4,24,0.05,2.0,metric_1e-3,0.001,0.014432127061147541,0.04791634928680004,CROSSED,3.320116922736548
fig4,24,0.05,2.0,metric_1e-2,0.01,0.04306897710290801,0.1429940397243178,CROSSED,3.320116922736548
fig4,24,0.05,2.0,pair,0.01,0.20842675891387982,0.6920012094211031,CROSSED,3.320116922736548
fig4,24,0.05,2.0,gamma,0.0001,0.13914019286312998,0.46196170895770494,CROSSED,3.320116922736548
fig4,40,0.05,2.0,metric_1e-4,0.0001,0.001790220167278033,0.013228037245454398,CROSSED,7.38905609893065
fig4,40,0.05,2.0,metric_1e-3,0.001,0.00548393911511218,0.04052113376468401,CROSSED,7.38905609893065
fig4,40,0.05,2.0,metric_1e-2,0.01,0.01860693416502736,0.1374876803744965,CROSSED,7.38905609893065
fig4,40,0.05,2.0,pair,0.01,,,NOT_REACHED,7.38905609893065
fig4,40,0.05,2.0,gamma,0.0001,0.01947367374032674,0.14389206771954696,CROSSED,7.38905609893065
