U,filling,L,g,gL,saved_records,accepted_trials,max_lambda,hermitian_seed_failed
1.0,0.8,20,0.1,2.0,27,26,0.1,False
1.0,0.8,40,0.05,2.0,428,37,0.09631742699469456,False
1.0,0.8,80,0.025,2.0,0,0,,False
1.0,0.8,24,0.1,2.4000000000000004,35,30,0.1,False
1.0,0.8,48,0.05,2.4000000000000004,1,0,,True
1.0,0.8,96,0.025,2.4000000000000004,1,0,,True
1.0,0.8,24,0.05,1.2000000000000002,27,24,0.1,False
1.0,0.8,40,0.1,4.0,32,28,0.1,False
3.0,0.8,20,0.1,2.0,20,18,0.1,False
3.0,0.8,40,0.05,2.0,2,0,,True
3.0,0.8,80,0.025,2.0,1,0,,True
3.0,0.8,24,0.1,2.4000000000000004,62,36,0.1,False
3.0,0.8,48,0.05,2.4000000000000004,1,0,,True
3.0,0.8,96,0.025,2.4000000000000004,1,0,,True
3.0,0.8,24,0.05,1.2000000000000002,69,34,0.1,False
3.0,0.8,40,0.1,4.0,1,0,,True
2.0,1.0,20,0.1,2.0,45,44,0.1,False
2.0,1.0,40,0.05,2.0,19,18,0.1,False
2.0,1.0,80,0.025,2.0,0,0,,False
2.0,1.0,24,0.1,2.4000000000000004,23,22,0.1,False
2.0,1.0,48,0.05,2.4000000000000004,23,22,0.1,False
2.0,1.0,96,0.025,2.4000000000000004,0,0,,False
2.0,1.0,24,0.05,1.2000000000000002,19,18,0.1,False
2.0,1.0,40,0.1,4.0,19,18,0.1,False
2.0,0.6,20,0.1,2.0,20,18,0.1,False
2.0,0.6,40,0.05,2.0,20,18,0.1,False
2.0,0.6,80,0.025,2.0,0,0,,False
2.0,0.6,24,0.1,2.4000000000000004,19,18,0.1,False
2.0,0.6,48,0.05,2.4000000000000004,0,0,,False
2.0,0.6,96,0.025,2.4000000000000004,0,0,,False
2.0,0.6,24,0.05,1.2000000000000002,0,0,,False
2.0,0.6,40,0.1,4.0,0,0,,False
1.5,0.8,20,0.1,2.0,24,22,0.1,True
1.5,0.8,40,0.05,2.0,19,18,0.1,False
1.5,0.8,80,0.025,2.0,19,18,0.1,False
1.5,0.8,24,0.1,2.4000000000000004,23,22,0.1,False
1.5,0.8,48,0.05,2.4000000000000004,19,18,0.1,False
1.5,0.8,96,0.025,2.4000000000000004,19,18,0.1,False
1.5,0.8,24,0.05,1.2000000000000002,19,18,0.1,False
1.5,0.8,40,0.1,4.0,19,18,0.1,False
2.5,0.8,20,0.1,2.0,19,18,0.1,False
2.5,0.8,40,0.05,2.0,0,0,,False
