U,filling,coordinate,branch_count,common_min,common_max,mean_log10_std,max_log10_std
1.0,0.8,lambda,5,1e-12,0.09631742699469456,1.0087486699200947,3.0169712598340963
1.0,0.8,chi,5,1.1023176380641605e-11,0.33201169227365485,0.8928786128644804,2.903524549596295
3.0,0.8,lambda,3,1e-12,0.1,0.43771471935491996,0.8354345834712162
3.0,0.8,chi,3,1.1023176380641605e-11,0.33201169227365485,0.2780832875220434,0.5551101089516891
2.0,1.0,lambda,6,1e-12,0.1,0.744958930992232,1.194956692414645
2.0,1.0,chi,6,5.459815003314424e-11,0.33201169227365485,0.8070288930804065,1.300291648521709
2.0,0.6,lambda,3,1e-12,0.1,0.749809453133671,1.2421401610118146
2.0,0.6,chi,3,1.1023176380641605e-11,0.7389056098930651,0.7317746951125059,1.20810548336526
1.5,0.8,lambda,8,1e-12,0.1,0.8008802982956219,1.086449423923882
1.5,0.8,chi,8,5.459815003314424e-11,0.33201169227365485,0.7856493961851484,1.0635281734890119
2.0,1.2,lambda,2,1e-12,0.1,0.7304626524990678,1.138726124192253
2.0,1.2,chi,2,7.38905609893065e-12,0.7389056098930651,0.7304626524990678,1.138726124192253
