U,filling,L_first,g_first,L_second,g_second,gL,common_chi_min,common_chi_max,mean_abs_log10_difference,max_abs_log10_difference
1.0,0.8,20,0.1,40,0.05,2.0,7.38905609893065e-12,0.7116948713684556,0.0963188029086278,0.24715031507418228
2.0,1.0,20,0.1,40,0.05,2.0,7.38905609893065e-12,0.7389056098930651,1.511203750032863,3.2905780675987764
2.0,1.0,24,0.1,48,0.05,2.4000000000000004,1.1023176380641605e-11,1.1023176380641606,1.5534389904633528,2.57106603221186
2.0,0.6,20,0.1,40,0.05,2.0,7.38905609893065e-12,0.7389056098930651,1.6920828982437364,2.799746690013995
1.5,0.8,20,0.1,40,0.05,2.0,7.38905609893065e-12,0.7389056098930651,0.5254536106706745,0.9205417485579339
1.5,0.8,20,0.1,80,0.025,2.0,7.38905609893065e-12,0.7389056098930651,1.6798745928067849,2.545466472089956
1.5,0.8,24,0.1,48,0.05,2.4000000000000004,1.1023176380641605e-11,1.1023176380641606,0.7173405705900731,1.0057348926239786
1.5,0.8,24,0.1,96,0.025,2.4000000000000004,1.1023176380641605e-11,1.1023176380641606,2.0993321424136955,2.918701677413507
1.5,0.8,40,0.05,80,0.025,2.0,7.38905609893065e-12,0.7389056098930651,1.1962126593108973,1.9618798019596255
1.5,0.8,48,0.05,96,0.025,2.4000000000000004,1.1023176380641605e-11,1.1023176380641606,1.3874664320868826,2.1809133678331403
2.0,1.2,20,0.1,40,0.05,2.0,7.38905609893065e-12,0.7389056098930651,1.4609253049981357,2.277452248384506
