run_id,kind,L,U,filling,g,target_g,lambda,chi,status,message,accepted,s_min,metric_violation
generalization_branch_trial_004287ebfc66,branch_trial,40,1.0,0.8,0.1,0.1,0.010161187012357312,0.5547820130155211,SUCCESS,SUCCESS,True,0.9999930553289711,0.07167711049721798
generalization_branch_trial_0088aafdbfcd,branch_trial,40,1.0,0.8,0.05,0.05,0.09677022494562498,0.7150406208293613,FAILED,NO_SCF_CONVERGENCE,False,0.999999920686955,0.09797269782105364
generalization_branch_trial_00be93b70569,branch_trial,40,1.0,0.8,0.05,0.05,0.1,0.7389056098930651,FAILED,NO_SCF_CONVERGENCE,False,0.9990401462652336,0.10401073435390888
generalization_branch_trial_00ebd45ca27f,branch_trial,40,1.0,0.8,0.05,0.05,0.096317867602654,0.7116981270453854,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999243,0.09723436435397408
generalization_branch_trial_01acaa5e17cb,branch_trial,40,1.0,0.8,0.05,0.05,0.1,0.7389056098930651,FAILED,NO_SCF_CONVERGENCE,False,0.9999923132458378,0.10328203409943243
generalization_branch_trial_01d78066e51f,branch_trial,20,3.0,0.8,0.1,0.1,0.0007262917501736235,0.0053666104862234295,SUCCESS,SUCCESS,True,0.9999999925860902,1.3019491375071786e-05
generalization_branch_trial_0236ab628fcd,branch_trial,40,1.0,0.8,0.05,0.05,0.09632022555408883,0.7117155500808159,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999806839,0.09723828489710311
generalization_branch_trial_028ba263cd2a,branch_trial,20,3.0,0.8,0.1,0.1,0.00035938136638046403,0.002655489077095598,SUCCESS,SUCCESS,True,0.9999999939180699,3.1066612335484912e-06
generalization_branch_trial_029e2800c09d,branch_trial,40,1.0,0.8,0.05,0.05,0.09638155252882402,0.712168698537512,FAILED,NO_SCF_CONVERGENCE,False,0.9999999783633949,0.09733825532338652
generalization_branch_trial_02a4442dc6b6,branch_trial,40,1.0,0.8,0.05,0.05,0.09631745132884988,0.7116950511748943,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999993,0.09723370312082442
generalization_branch_trial_02ea0d4e3252,branch_trial,40,1.5,0.8,0.05,0.05,0.00035938136638046403,0.002655489077095598,SUCCESS,SUCCESS,True,0.99999997623774,6.706917354839492e-05
generalization_branch_trial_02ecc439f645,branch_trial,20,2.0,1.0,0.1,0.1,0.005994842503189421,0.04429622756032048,SUCCESS,SUCCESS,True,0.9999949946428477,0.0005356014184902547
generalization_branch_trial_02f944be56db,branch_trial,40,1.0,0.8,0.05,0.05,0.1,0.7389056098930651,FAILED,NO_SCF_CONVERGENCE,False,0.9999922830079243,0.10328203409935051
generalization_branch_trial_0412ed6efcda,branch_trial,48,2.0,1.0,0.05,0.05,0.005994842503189421,0.06608220628682401,SUCCESS,SUCCESS,True,0.999960068506599,0.005243145001591765
generalization_branch_trial_048b25bdab1b,branch_trial,40,1.0,0.8,0.05,0.05,0.09631742828713262,0.7116948809183529,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999994,0.09723372588317089
generalization_branch_trial_04a9fe0f223f,branch_trial,20,1.5,0.8,0.1,0.1,0.00035938136638046403,0.002655489077095598,SUCCESS,SUCCESS,True,0.9999999077867437,0.00018521088173758873
generalization_branch_trial_050e94ea717c,branch_trial,40,1.0,0.8,0.05,0.05,0.09631753318340432,0.711695656002789,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999959,0.09723386905408138
generalization_branch_trial_05498256352e,branch_trial,40,1.0,0.8,0.05,0.05,0.09637390794023441,0.7121122122435701,FAILED,NO_SCF_CONVERGENCE,False,0.999999998765972,0.09732578541207029
generalization_branch_trial_05fd0fbbd0f1,branch_trial,40,1.0,0.8,0.05,0.05,0.09814144071925841,0.7251726111044773,FAILED,NO_SCF_CONVERGENCE,False,0.9999987123490441,0.1002190388264389
generalization_branch_trial_060be070ca25,branch_trial,40,1.0,0.8,0.05,0.05,0.09637391048621544,0.7121122310559668,FAILED,NO_SCF_CONVERGENCE,False,0.9999999987659741,0.09732581043285465
generalization_branch_trial_062728848474,branch_trial,24,2.0,1.0,0.1,0.1,4.641588833612792e-09,5.116505239933034e-08,SUCCESS,SUCCESS,True,0.9999999999999997,2.440231435773374e-10
generalization_branch_trial_06501b1299ca,branch_trial,40,1.0,0.8,0.05,0.05,0.09722515554769258,0.718402128569159,FAILED,NO_SCF_CONVERGENCE,False,0.9999996812072038,0.0987165956183735
generalization_branch_trial_07998f1c484f,branch_trial,48,2.0,1.0,0.05,0.05,0.0029663488391777374,0.032698586460767676,SUCCESS,SUCCESS,True,0.9999973789646398,0.001329592915837162
generalization_branch_trial_07f9360d46d0,branch_trial,40,1.0,0.8,0.05,0.05,0.09631830887228905,0.7117013876114736,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999996988,0.09723513310306524
generalization_branch_trial_087ab4694cdb,branch_trial,40,2.0,1.2,0.05,0.05,0.012115276586285901,0.08952045835012755,SUCCESS,SUCCESS,True,0.999986269524771,0.004282769970750316
generalization_branch_trial_0887f299fd72,branch_trial,80,1.5,0.8,0.025,0.025,4.641588833612792e-09,3.4296960279735006e-08,SUCCESS,SUCCESS,True,0.9999999999999996,6.801238276222412e-12
generalization_branch_trial_08d95b2616d0,branch_trial,40,1.0,0.8,0.05,0.05,0.0963174297881975,0.7116948920098055,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999997,0.09723372943165867
generalization_branch_trial_08e5b9b0ab6c,branch_trial,24,1.0,0.8,0.1,0.1,2.782559402207126e-10,3.0672643080141817e-09,SUCCESS,SUCCESS,True,0.9999999999999993,6.497013513123308e-10
generalization_branch_trial_09153324c938,branch_trial,40,2.0,1.0,0.1,0.1,0.00017782794100389284,0.009709076603015662,SUCCESS,SUCCESS,True,0.9999999936833666,5.025063178415684e-05
generalization_branch_trial_091581128983,branch_trial,24,1.0,0.8,0.1,0.1,0.1,1.1023176380641606,FAILED,COMPLEX_DENSITY: unprojected density imaginary part 1.157161e-02 exceeds tolerance 1.000000e-10,False,0.0,0.6086040059686576
generalization_branch_trial_09a57bfd68c2,branch_trial,40,1.0,0.8,0.05,0.05,0.09631753685199078,0.7116956831101802,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999962,0.0972338630553585
generalization_branch_trial_09b5df2c7723,branch_trial,20,1.0,0.8,0.1,0.1,1e-12,7.38905609893065e-12,SUCCESS,SUCCESS,True,0.9999999999999997,5.922719117382697e-07
generalization_branch_trial_09c56856d6fe,branch_trial,40,1.0,0.8,0.05,0.05,0.09636273359430382,0.7120296443746201,FAILED,NO_SCF_CONVERGENCE,False,0.9999999987585112,0.09730755317615904
generalization_branch_trial_09e4a12ef26b,branch_trial,20,2.5,0.8,0.1,0.1,0.04948168092155145,0.36562291619873016,SUCCESS,SUCCESS,True,0.9991794663878033,0.04155511117300724
generalization_branch_trial_0a1420ab101f,branch_trial,96,1.5,0.8,0.025,0.025,0.00035938136638046403,0.003961524189527838,SUCCESS,SUCCESS,True,0.9999999839184786,8.820961992029493e-06
generalization_branch_trial_0a26a833ee8c,branch_trial,40,1.0,0.8,0.05,0.05,0.09643042775836631,0.7125298403504481,FAILED,NO_SCF_CONVERGENCE,False,0.9999999950609075,0.09741798159062127
generalization_branch_trial_0a3b5340d2a9,branch_trial,40,1.0,0.8,0.05,0.05,1e-12,7.38905609893065e-12,SUCCESS,SUCCESS,True,0.9999999999999994,8.14208731847415e-07
